state,cases,deaths
Indiana,152,8
Indiana,143,9
Indiana,82,10
Indiana,157,11
Indiana,118,11
Indiana,178,12
Indiana,416,13
Indiana,171,21
Indiana,329,23
Indiana,506,24
Indiana,599,36
Indiana,430,37
Indiana,348,40
Indiana,1189,54
Indiana,4076,216
Indiana,4,0
Indiana,19,0
Indiana,16,0
Indiana,6,0
Indiana,5,0
Indiana,98,0
Indiana,10,0
Indiana,21,0
Indiana,18,0
Indiana,24,0
Indiana,6,0
Indiana,27,0
Indiana,26,0
Indiana,2,0
Indiana,9,0
Indiana,8,0
Indiana,1,0
Indiana,8,0
Indiana,1,0
Indiana,8,0
Indiana,10,0
Indiana,13,0
Indiana,6,0
Indiana,6,0
Indiana,10,0
Indiana,31,0
Indiana,6,0
Indiana,8,0
Indiana,7,1
Indiana,6,1
Indiana,14,1
Indiana,8,1
Indiana,14,1
Indiana,29,1
Indiana,6,1
Indiana,26,1
Indiana,18,1
Indiana,22,1
Indiana,22,1
Indiana,12,1
Indiana,17,1
Indiana,14,1
Indiana,88,1
Indiana,7,1
Indiana,16,1
Indiana,108,2
Indiana,21,2
Indiana,14,2
Indiana,8,2
Indiana,23,2
Indiana,13,2
Indiana,25,2
Indiana,59,2
Indiana,30,2
Indiana,179,3
Indiana,104,3
Indiana,66,3
Indiana,83,3
Indiana,22,4
Indiana,125,4
Indiana,34,4
Indiana,54,4
Indiana,70,5
Indiana,100,5
Indiana,45,5
Indiana,72,5
Indiana,140,5
Indiana,115,5
Indiana,34,5
Indiana,41,5
Indiana,39,6
Indiana,184,6
Indiana,61,6
Indiana,70,6
Indiana,91,7
Indiana,143,8
Indiana,150,8
Indiana,116,9
Indiana,143,10
Indiana,84,10
Indiana,182,12
Indiana,127,13
Indiana,446,13
Indiana,164,20
Indiana,174,23
Indiana,519,26
Indiana,341,27
Indiana,617,40
Indiana,354,42
Indiana,455,43
Indiana,1235,62
Indiana,4201,231
Indiana,4,0
Indiana,16,0
Indiana,6,0
Indiana,5,0
Indiana,98,0
Indiana,10,0
Indiana,21,0
Indiana,18,0
Indiana,6,0
Indiana,28,0
Indiana,27,0
